URL;Código de respuesta;Error de Google Noticias;Detectado;;;
;Categoría;Plataforma;Último rastreo;;;
http://m.futbolred.com/futbol-femenino/santa-fe-femenino-vencio-con-lo-justo-a-fortaleza-1-0-por-liga+16834461;404;;22/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/seleccion-colombia/las-variantes-que-hizo-piscis-en-colombia-en-el-suramericano-sub-20+16802205;404;;27/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/torneo-aguila/u-magdalena-volvio-a-ganar-en-el-torneo-de-la-b-2-1-frente-atletico+16864897;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/liga-aguila/boyaca-chico-logro-su-primera-victoria-en-liga-vencio-1-0-a-fortaleza+16522161;404;;26/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/lo-bueno-lo-malo-lo-feo-y-mucho-mas-de-la-fecha-18-de-la-liga-i-2017+16851941;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/liga-aguila/rueda-no-tiene-propuesta-de-dirigir-otro-equipo-su-representante+16848277;404;;22/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/otras-ligas-de-futbol/no-es-lo-esperado-pero-la-llave-esta-abierta-felipe-aguilar+16845856;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/otras-ligas-de-futbol/mi-mejor-momento-en-porto-esta-por-llegar-afirmo-iker-casillas+16480092;404;;27/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/liga-aguila/nacional-se-complico-y-corrigio-sobre-la-marcha-vencio-3-2-a-jaguares+16854798;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/torneo-aguila/deseo-un-equipo-serio-que-asuma-victorias-y-afronte-derrotas-suarez+16834171;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
